"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2024","0.85","0.94","0.93","0.85","10.93M","-9.57%"
"01/17/2024","0.94","1.00","1.00","0.90","17.28M","2.17%"
"01/16/2024","0.92","0.92","0.92","0.92","6.56M","9.52%"
"01/15/2024","0.84","0.77","0.84","0.80","15.65M","9.09%"
"01/12/2024","0.77","0.70","0.77","0.70","16.53M","10.00%"
"01/11/2024","0.70","0.71","0.74","0.64","8.91M","-1.41%"
"01/10/2024","0.71","0.84","0.84","0.70","54.36M","-7.79%"
"01/09/2024","0.77","0.77","0.77","0.77","23.35M","10.00%"
"01/08/2024","0.70","0.64","0.70","0.65","26.96M","9.38%"
"01/05/2024","0.64","0.59","0.64","0.59","20.39M","8.47%"
"01/04/2024","0.59","0.58","0.61","0.58","8.59M","1.72%"
"01/03/2024","0.58","0.53","0.58","0.51","16.37M","9.43%"
"01/02/2024","0.53","0.53","0.57","0.50","101.63M","0.00%"
"12/29/2023","0.53","0.50","0.53","0.52","4.77M","6.00%"
"12/28/2023","0.50","0.50","0.52","0.50","556.67K","0.00%"
"12/27/2023","0.50","0.52","0.50","0.50","1.03M","-3.85%"
"12/22/2023","0.52","0.51","0.52","0.48","30.20M","1.96%"
"12/21/2023","0.51","0.50","0.52","0.48","8.26M","2.00%"
"12/20/2023","0.50","0.49","0.52","0.48","20.33M","2.04%"
"12/19/2023","0.49","0.48","0.50","0.49","2.65M","2.08%"
"12/18/2023","0.48","0.50","0.50","0.48","42.08M","-4.00%"
"12/15/2023","0.50","0.48","0.50","0.50","378.04K","4.17%"
"12/14/2023","0.48","0.53","0.50","0.48","19.16M","-9.43%"
"12/13/2023","0.53","0.52","0.53","0.50","1.84M","1.92%"
"12/12/2023","0.52","0.52","0.52","0.49","15.79M","0.00%"
"12/11/2023","0.52","0.53","0.52","0.52","775.33K","-1.89%"
"12/08/2023","0.53","0.52","0.53","0.48","67.28M","1.92%"
"12/07/2023","0.52","0.53","0.57","0.52","2.16M","-1.89%"
"12/06/2023","0.53","0.56","0.57","0.53","750.40K","-5.36%"
"12/05/2023","0.56","0.52","0.56","0.52","1.63M","7.69%"
"12/04/2023","0.52","0.56","0.53","0.52","3.47M","-7.14%"
"12/01/2023","0.56","0.52","0.56","0.50","1.49M","7.69%"
"11/30/2023","0.52","0.52","0.55","0.51","7.91M","0.00%"
"11/29/2023","0.52","0.54","0.53","0.51","2.61M","-3.70%"
"11/28/2023","0.54","0.59","0.59","0.54","1.68M","-8.47%"
"11/27/2023","0.59","0.56","0.60","0.57","9.19M","5.36%"
"11/24/2023","0.56","0.59","0.60","0.56","5.99M","-6.67%"
"11/23/2023","0.60","0.58","0.60","0.53","17.27M","3.45%"
"11/22/2023","0.58","0.54","0.58","0.54","7.27M","7.41%"
"11/21/2023","0.54","0.52","0.57","0.53","46.64M","3.85%"
"11/20/2023","0.52","0.48","0.52","0.51","4.50M","8.33%"
"11/17/2023","0.48","0.48","0.49","0.48","11.98M","0.00%"
"11/16/2023","0.48","0.48","0.50","0.48","495.99K","0.00%"
"11/15/2023","0.48","0.49","0.52","0.48","6.33M","-2.04%"
"11/14/2023","0.49","0.52","0.52","0.49","3.51M","-5.77%"
"11/13/2023","0.52","0.52","0.52","0.52","689.62K","0.00%"
"11/10/2023","0.52","0.48","0.52","0.51","1.53M","8.33%"
"11/09/2023","0.48","0.48","0.52","0.48","172.18K","0.00%"
"11/08/2023","0.48","0.49","0.50","0.48","2.76M","-2.04%"
"11/07/2023","0.49","0.49","0.50","0.49","3.16M","0.00%"
"11/06/2023","0.49","0.53","0.53","0.49","2.65M","-7.55%"
"11/03/2023","0.53","0.52","0.56","0.50","6.83M","1.92%"
"11/02/2023","0.52","0.48","0.52","0.51","8.56M","8.33%"
"11/01/2023","0.48","0.44","0.48","0.45","10.21M","9.09%"
"10/31/2023","0.44","0.43","0.44","0.43","514.06K","2.33%"
"10/30/2023","0.43","0.41","0.43","0.43","1.76M","4.88%"
"10/27/2023","0.41","0.41","0.44","0.41","12.17K","0.00%"
