"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2022","245.00","245.00","245.00","245.00","57.13K","0.00%"
"09/26/2022","245.00","245.00","245.00","245.00","11.80K","0.00%"
"09/23/2022","245.00","245.00","245.00","245.00","2.11K","0.00%"
"09/22/2022","245.00","245.00","245.00","245.00","13.42K","0.00%"
"09/21/2022","245.00","245.00","245.00","245.00","16.52K","0.00%"
"09/20/2022","245.00","245.00","245.00","245.00","12.66K","0.00%"
"09/19/2022","245.00","245.00","245.00","245.00","29.95K","0.00%"
"09/16/2022","245.00","245.00","245.00","245.00","22.83K","0.00%"
"09/15/2022","245.00","245.00","245.00","245.00","27.58K","0.00%"
"09/14/2022","245.00","245.00","245.00","245.00","270.35K","0.00%"
"09/13/2022","245.00","245.00","245.00","245.00","23.59K","0.00%"
"09/12/2022","245.00","245.00","245.00","245.00","7.10K","0.00%"
"09/09/2022","245.00","245.00","245.00","245.00","16.30K","0.00%"
"09/08/2022","245.00","245.00","245.00","245.00","65.24K","0.00%"
"09/07/2022","245.00","245.00","245.00","245.00","212.05K","0.00%"
"09/06/2022","245.00","245.00","245.00","245.00","524.35K","0.00%"
"09/05/2022","245.00","245.00","245.00","245.00","102.19K","0.00%"
"09/02/2022","245.00","245.00","245.00","245.00","10.65K","0.00%"
"09/01/2022","245.00","245.00","245.00","245.00","92.93K","0.00%"
"08/31/2022","245.00","245.00","245.00","245.00","27.41K","0.00%"
"08/30/2022","245.00","245.00","245.00","245.00","603.31K","0.00%"
"08/29/2022","245.00","245.00","245.00","245.00","231.02K","0.00%"
"08/26/2022","245.00","245.00","245.00","245.00","39.94K","0.00%"
"08/25/2022","245.00","245.00","245.00","245.00","531.39K","0.00%"
"08/24/2022","245.00","245.00","245.00","245.00","41.06K","0.00%"
"08/23/2022","245.00","258.80","245.00","245.00","2.72M","-5.33%"
"08/22/2022","258.80","258.80","258.80","258.80","413.41K","0.00%"
"08/19/2022","258.80","258.80","258.80","258.80","14.71K","0.00%"
"08/18/2022","258.80","258.80","258.80","258.80","470.91K","0.00%"
"08/17/2022","258.80","258.80","258.80","258.80","126.68K","0.00%"
"08/16/2022","258.80","258.80","258.80","258.80","12.10K","0.00%"
"08/15/2022","258.80","258.80","258.80","258.80","19.27K","0.00%"
"08/12/2022","258.80","265.00","258.80","258.80","350.53K","-2.34%"
"08/11/2022","265.00","265.00","265.00","265.00","30.64K","0.00%"
"08/10/2022","265.00","241.00","265.00","260.00","961.58K","9.96%"
"08/09/2022","241.00","265.00","241.00","241.00","327.60K","-9.06%"
"08/08/2022","265.00","265.00","265.00","265.00","57.19K","0.00%"
"08/05/2022","265.00","265.00","265.00","265.00","21.50K","0.00%"
"08/04/2022","265.00","265.00","265.00","265.00","168.03K","0.00%"
"08/03/2022","265.00","265.00","265.00","265.00","26.24K","0.00%"
"08/02/2022","265.00","265.00","265.00","265.00","199.98K","0.00%"
"08/01/2022","265.00","265.00","265.00","265.00","28.20K","0.00%"
"07/29/2022","265.00","265.00","265.00","265.00","45.11K","0.00%"
"07/28/2022","265.00","265.00","265.00","265.00","80.18K","0.00%"
"07/27/2022","265.00","265.00","265.00","265.00","873.86K","0.00%"
"07/26/2022","265.00","265.00","265.00","265.00","78.47K","0.00%"
"07/25/2022","265.00","265.00","265.00","265.00","92.58K","0.00%"
"07/22/2022","265.00","265.00","265.00","265.00","117.63K","0.00%"
"07/21/2022","265.00","265.00","265.00","265.00","82.01K","0.00%"
"07/20/2022","265.00","265.00","265.00","265.00","325.42K","0.00%"
"07/19/2022","265.00","265.00","265.00","265.00","168.85K","0.00%"
"07/18/2022","265.00","265.00","265.00","265.00","250.27K","0.00%"
"07/15/2022","265.00","275.00","265.00","265.00","2.65M","-3.64%"
"07/14/2022","275.00","275.00","275.00","275.00","133.53K","0.00%"
"07/13/2022","275.00","275.00","275.00","275.00","151.63K","0.00%"
"07/08/2022","275.00","275.00","275.00","275.00","232.91K","0.00%"
"07/07/2022","275.00","275.00","275.00","275.00","477.42K","0.00%"
"07/06/2022","275.00","275.00","275.00","275.00","296.95K","0.00%"
"07/05/2022","275.00","275.00","275.00","275.00","83.74K","0.00%"
"07/04/2022","275.00","275.00","275.00","275.00","44.32K","0.00%"
"07/01/2022","275.00","275.00","275.00","275.00","48.78K","0.00%"
"06/30/2022","275.00","275.00","275.00","275.00","36.49K","0.00%"
"06/29/2022","275.00","275.00","275.00","275.00","122.19K","0.00%"
"06/28/2022","275.00","275.00","275.00","275.00","51.58K","0.00%"
"06/27/2022","275.00","275.00","275.00","275.00","74.96K","0.00%"
"06/24/2022","275.00","275.00","275.00","275.00","63.09K","0.00%"
"06/23/2022","275.00","275.00","275.00","275.00","547.34K","0.00%"
"06/22/2022","275.00","270.00","275.00","275.00","800.59K","1.85%"
"06/21/2022","270.00","249.30","270.00","270.00","903.70K","8.30%"
"06/20/2022","249.30","277.00","249.30","249.30","460.03K","-10.00%"
